"alphaCode_bc","bandingCode","comNameCode","speciesCode","comName","comName_ebird","sciNameCode","sciName","familyComName","familySciName","familyCode","order","comment"
"NSWO","NSWO","","nswowl","Northern Saw-whet Owl","Northern Saw-whet Owl","AEAC","Aegolius acadicus","Owls","Strigidae","strigi1","Strigiformes",""
"OCWA","OCWA","","orcwar","Orange-crowned Warbler","Orange-crowned Warbler","LECE","Leiothlypis celata","New World Warblers","Parulidae","paruli1","Passeriformes",""
"OSFL","OSFL","","olsfly","Olive-sided Flycatcher","Olive-sided Flycatcher","COCO","Contopus cooperi","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"OSPR","OSPR","","osprey","Osprey","Osprey","PAHA","Pandion haliaetus","Osprey","Pandionidae","pandio1","Accipitriformes",""
"OVEN","","","","Ovenbird","Ovenbird","","","","","","",""
"PAJA","PAJA","ARJA ARSK","parjae","Parasitic Jaeger","Parasitic Jaeger","STPA","Stercorarius parasiticus","Skuas and Jaegers","Stercorariidae","sterco1","Charadriiformes",""
"PALO","PALO","PADI","pacloo","Pacific Loon","Pacific Loon","GAPA","Gavia pacifica","Loons","Gaviidae","gaviid1","Gaviiformes",""
"PAWA","PAWA","","palwar","Palm Warbler","Palm Warbler","SEPA","Setophaga palmarum","New World Warblers","Parulidae","paruli1","Passeriformes",""
"PAWR","PAWR","","pacwre1","Pacific Wren","Pacific Wren","TRPA","Troglodytes pacificus","Wrens","Troglodytidae","troglo1","Passeriformes",""
"PBGR","PBGR","","pibgre","Pied-billed Grebe","Pied-billed Grebe","POPO","Podilymbus podiceps","Grebes","Podicipedidae","podici1","Podicipediformes",""
"PEAF","","","","Indian Peafowl","Indian Peafowl","","","","","","",""
"PECO","PECO","","pelcor","Pelagic Cormorant","Pelagic Cormorant","URPE","Urile pelagicus","Cormorants and Shags","Phalacrocoracidae","phalac1","Suliformes",""
"PEFA","PEFA","","perfal","Peregrine Falcon","Peregrine Falcon","FAPE","Falco peregrinus","Falcons and Caracaras","Falconidae","falcon1","Falconiformes",""
"PHVI","","","","Philadelphia Vireo","Philadelphia Vireo","","","","","","",""
"PIGR","PIGR","","pingro","Pine Grosbeak","Pine Grosbeak","PIEN","Pinicola enucleator","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"PIGU","PIGU","","piggui","Pigeon Guillemot","Pigeon Guillemot","CECO","Cepphus columba","Auks, Murres, and Puffins","Alcidae","alcida1","Charadriiformes",""
"PISI","PISI","","pinsis","Pine Siskin","Pine Siskin","SPPI","Spinus pinus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"PIWO","PIWO","","pilwoo","Pileated Woodpecker","Pileated Woodpecker","DRPI","Dryocopus pileatus","Woodpeckers","Picidae","picida1","Piciformes",""
"POWA","","","","Prothonotary Warbler","Prothonotary Warbler","","","","","","",""
"PRFA","","","","Prairie Falcon","Prairie Falcon","","","","","","",""
"PSFL","","","","Pacific-slope Flycatcher","Pacific-slope Flycatcher","","","","","","",""
"PUFI","PUFI","","purfin","Purple Finch","Purple Finch","HAPU","Haemorhous purpureus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"PUMA","PUMA","","purmar","Purple Martin","Purple Martin","PRSU","Progne subis","Swallows","Hirundinidae","hirund2","Passeriformes",""
"PYNU","","","","Pygmy Nuthatch","Pygmy Nuthatch","","","","","","",""
"RBGR","","","","Rose-breasted Grosbeak","Rose-breasted Grosbeak","","","","","","",""
"RBGU","RBGU","","ribgul","Ring-billed Gull","Ring-billed Gull","LADE","Larus delawarensis","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"RBME","RBME","","rebmer","Red-breasted Merganser","Red-breasted Merganser","MESE","Mergus serrator","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"RBNU","RBNU","","rebnut","Red-breasted Nuthatch","Red-breasted Nuthatch","SICA","Sitta canadensis","Nuthatches","Sittidae","sittid1","Passeriformes",""
"RBSA","RBSA","","rebsap","Red-breasted Sapsucker","Red-breasted Sapsucker","SPRU","Sphyrapicus ruber","Woodpeckers","Picidae","picida1","Piciformes",""
"RCKI","RCKI","","ruckin","Ruby-crowned Kinglet","Ruby-crowned Kinglet","COCA","Corthylio calendula","Kinglets","Regulidae","reguli1","Passeriformes",""
"RECR","RECR","COCR","redcro","Red Crossbill","Red Crossbill","LOCU","Loxia curvirostra","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"REDH","REDH","","redhea","Redhead","Redhead","AYAM","Aythya americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"REVI","REVI","","reevir1","Red-eyed Vireo","Red-eyed Vireo","VIOL","Vireo olivaceus","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes",""
"RHAU","","","","Rhinoceros Auklet","Rhinoceros Auklet","","","","","","",""
"RNDU","RNDU","","rinduc","Ring-necked Duck","Ring-necked Duck","AYCO","Aythya collaris","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"RNGR","RNGR","","rengre","Red-necked Grebe","Red-necked Grebe","POGR","Podiceps grisegena","Grebes","Podicipedidae","podici1","Podicipediformes",""
"RNPH","RNEP","RNPH COPH","rinphe1","Ring-necked Pheasant","Ring-necked Pheasant","PHCO","Phasianus colchicus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes",""
"RNPL","RNPH","","renpha","Red-necked Phalarope","Red-necked Phalarope","PHLO","Phalaropus lobatus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"RNSA","RNSA","","rensap","Red-naped Sapsucker","Red-naped Sapsucker","SPNU","Sphyrapicus nuchalis","Woodpeckers","Picidae","picida1","Piciformes",""
"ROPI","","ROPI RODO","rocpig","Rock Pigeon","Rock Pigeon","COLI","Columba livia","Pigeons and Doves","Columbidae","columb2","Columbiformes",""
"ROPT","","","","Rock Ptarmigan","Rock Ptarmigan","","","","","","",""
"ROWR","ROWR","ARWR","rocwre","Rock Wren","Rock Wren","SAOB","Salpinctes obsoletus","Wrens","Troglodytidae","troglo1","Passeriformes",""
"RTHA","RTHA","","rethaw","Red-tailed Hawk","Red-tailed Hawk","BUJA","Buteo jamaicensis","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"RTHU","","","","Ruby-throated Hummingbird","Ruby-throated Hummingbird","","","","","","",""
"RTLO","RTLO","RTDI","retloo","Red-throated Loon","Red-throated Loon","GAST","Gavia stellata","Loons","Gaviidae","gaviid1","Gaviiformes",""
"RUBL","RUBL","","rusbla","Rusty Blackbird","Rusty Blackbird","EUCA","Euphagus carolinus","Troupials and Allies","Icteridae","icteri1","Passeriformes",""
"RUDU","RUDU","","rudduc","Ruddy Duck","Ruddy Duck","OXJA","Oxyura jamaicensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"RUGR","","","","Ruffed Grouse","Ruffed Grouse","","","","","","",""
"RUHU","RUHU","","rufhum","Rufous Hummingbird","Rufous Hummingbird","SERU","Selasphorus rufus","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes",""
"RWBL","RWBL","","rewbla","Red-winged Blackbird","Red-winged Blackbird","AGPH","Agelaius phoeniceus","Troupials and Allies","Icteridae","icteri1","Passeriformes",""
"SACR","SACR","","sancra","Sandhill Crane","Sandhill Crane","ANCA","Antigone canadensis","Cranes","Gruidae","gruida1","Gruiformes",""
"SAHY","","","","Sapsucker hybrid","Sapsucker hybrid","","","","","","",""
"SAPH","SAPH","","saypho","Say's Phoebe","Say's Phoebe","SASA","Sayornis saya","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"SAPS","","","","Unknown Sapsucker","Unknown Sapsucker","","","","","","",""
"SATH","SATH","","sagthr","Sage Thrasher","Sage Thrasher","ORMO","Oreoscoptes montanus","Mockingbirds and Thrashers","Mimidae","mimida2","Passeriformes",""
"SAVS","SAVS","SASP SBBS","savspa","Savannah Sparrow","Savannah Sparrow","PASA","Passerculus sandwichensis","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"SBDO","SBDO","","shbdow","Short-billed Dowitcher","Short-billed Dowitcher","LIGR","Limnodromus griseus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"SEOW","SEOW","","sheowl","Short-eared Owl","Short-eared Owl","ASFL","Asio flammeus","Owls","Strigidae","strigi1","Strigiformes",""
"SEPL","SEPL","","semplo","Semipalmated Plover","Semipalmated Plover","CHSE","Charadrius semipalmatus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes",""
"SIPH","","","","Silver Pheasant","Silver Pheasant","","","","","","",""
"SKLA","","","","Sky Lark","Sky Lark","","","","","","",""
"SMLO","","","","Smith's Longspur","Smith's Longspur","","","","","","",""
"SNBU","SNBU","","snobun","Snow Bunting","Snow Bunting","PLNI","Plectrophenax nivalis","Longspurs and Snow Buntings","Calcariidae","calcar1","Passeriformes",""
"SNGO","SNGO","","snogoo","Snow Goose","Snow Goose","ANCA","Anser caerulescens","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"SOGR","SOGR","","soogro1","Sooty Grouse","Sooty Grouse","DEFU","Dendragapus fuliginosus","Pheasants, Grouse, and Allies","Phasianidae","phasia1","Galliformes",""
"SORA","SORA","","sora","Sora","Sora","POCA","Porzana carolina","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes",""
"SOSA","SOSA","","solsan","Solitary Sandpiper","Solitary Sandpiper","TRSO","Tringa solitaria","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"SOSP","SOSP","","sonspa","Song Sparrow","Song Sparrow","MEME","Melospiza melodia","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"SPGR","","","","Spruce Grouse","Spruce Grouse","","","","","","",""
"SPOW","","","","Spotted Owl","Spotted Owl","","","","","","",""
"SPPI","","","","Sprague's Pipit","Sprague's Pipit","","","","","","",""
"SPSA","SPSA","","sposan","Spotted Sandpiper","Spotted Sandpiper","ACMA","Actitis macularius","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"SPTO","SPTO","","spotow","Spotted Towhee","Spotted Towhee","PIMA","Pipilo maculatus","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"SSHA","SSHA","SSBB","shshaw","Sharp-shinned Hawk","Sharp-shinned Hawk","ACST","Accipiter striatus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"STGR","","","","Sharp-tailed Grouse","Sharp-tailed Grouse","","","","","","",""
"STJA","STJA","","stejay","Steller's Jay","Steller's Jay","CYST","Cyanocitta stelleri","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes",""
"SUSC","SUSC","","sursco","Surf Scoter","Surf Scoter","MEPE","Melanitta perspicillata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"SUTA","","","","Summer Tanager","Summer Tanager","","","","","","",""
"SWHA","SWHA","","swahaw","Swainson's Hawk","Swainson's Hawk","BUSW","Buteo swainsoni","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"SWSP","SWSP","","swaspa","Swamp Sparrow","Swamp Sparrow","MEGE","Melospiza georgiana","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"SWTH","SWTH","RBTH","swathr","Swainson's Thrush","Swainson's Thrush","CAUS","Catharus ustulatus","Thrushes and Allies","Turdidae","turdid1","Passeriformes",""
"TBMU","","","","Thick-billed Murre","Thick-billed Murre","","","","","","",""
"TEWA","TEWA","","tenwar","Tennessee Warbler","Tennessee Warbler","LEPE","Leiothlypis peregrina","New World Warblers","Parulidae","paruli1","Passeriformes",""
"TOSO","TOSO","","towsol","Townsend's Solitaire","Townsend's Solitaire","MYTO","Myadestes townsendi","Thrushes and Allies","Turdidae","turdid1","Passeriformes",""
"TOWA","TOWA","","towwar","Townsend's Warbler","Townsend's Warbler","SETO","Setophaga townsendi","New World Warblers","Parulidae","paruli1","Passeriformes",""
"TRSW","TRES","TRSW","treswa","Tree Swallow","Tree Swallow","TABI","Tachycineta bicolor","Swallows","Hirundinidae","hirund2","Passeriformes",""
"TRUS","TRUS","TRSW","truswa","Trumpeter Swan","Trumpeter Swan","CYBU","Cygnus buccinator","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"TUPU","","","","Tufted Puffin","Tufted Puffin","","","","","","",""
"TUVU","TUVU","","turvul","Turkey Vulture","Turkey Vulture","CAAU","Cathartes aura","New World Vultures","Cathartidae","cathar2","Cathartiformes",""
"UPSA","","","","Upland Sandpiper","Upland Sandpiper","","","","","","",""
"VASW","VASW","","vauswi","Vaux's Swift","Vaux's Swift","CHVA","Chaetura vauxi","Swifts","Apodidae","apodid1","Caprimulgiformes",""
"VATH","VATH","","varthr","Varied Thrush","Varied Thrush","IXNA","Ixoreus naevius","Thrushes and Allies","Turdidae","turdid1","Passeriformes",""
"VEER","","","","Veery","Veery","","","","","","",""
"VESP","VESP","","vesspa","Vesper Sparrow","Vesper Sparrow","POGR","Pooecetes gramineus","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"VGSW","VGSW","","vigswa","Violet-green Swallow","Violet-green Swallow","TATH","Tachycineta thalassina","Swallows","Hirundinidae","hirund2","Passeriformes",""
"VIRA","VIRA","","virrai","Virginia Rail","Virginia Rail","RALI","Rallus limicola","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes",""
"WATA","","","","Wandering Tattler","Wandering Tattler","","","","","","",""
"WAVI","WAVI","","warvir","Warbling Vireo","Warbling Vireo","VIGI","Vireo gilvus","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes",""
"WBNU","","","","White-breasted Nuthatch","White-breasted Nuthatch","","","","","","",""
"WCSP","WCSP","","whcspa","White-crowned Sparrow","White-crowned Sparrow","ZOLE","Zonotrichia leucophrys","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"WEBL","","","","Western Bluebird","Western Bluebird","","","","","","",""
"WEFL","WEFL","PSFL","wesfly","Cordilleran or Pacific-slope Flycatcher (Western)","Western Flycatcher","EMDI","Empidonax difficilis","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes","At least one of the eBird codes matches the BC code. Merged."
"WEGR","WEGR","","wesgre","Western Grebe","Western Grebe","AEOC","Aechmophorus occidentalis","Grebes","Podicipedidae","podici1","Podicipediformes",""
"WEGU","WEGU","","wesgul","Western Gull","Western Gull","LAOC","Larus occidentalis","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"WEKI","WEKI","","weskin","Western Kingbird","Western Kingbird","TYVE","Tyrannus verticalis","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"WEME","WEME","","wesmea","Western Meadowlark","Western Meadowlark","STNE","Sturnella neglecta","Troupials and Allies","Icteridae","icteri1","Passeriformes",""
"WETA","WETA","","westan","Western Tanager","Western Tanager","PILU","Piranga ludoviciana","Cardinals and Allies","Cardinalidae","cardin1","Passeriformes",""
"WHWO","","","","White-headed Woodpecker","White-headed Woodpecker","","","","","","",""
"WIFL","WIFL","","wilfly","Willow Flycatcher","Willow Flycatcher","EMTR","Empidonax traillii","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"WIPH","WIPH","","wilpha","Wilson's Phalarope","Wilson's Phalarope","PHTR","Phalaropus tricolor","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"WIPT","","","","Willow Ptarmigan","Willow Ptarmigan","","","","","","",""
"WISA","","","","Williamson's Sapsucker","Williamson's Sapsucker","","","","","","",""
"WISN","WISN","","wilsni1","Wilson's Snipe","Wilson's Snipe","GADE","Gallinago delicata","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"WITU","","","","Wild Turkey","Wild Turkey","","","","","","",""
"WIWA","WIWA","","wlswar","Wilson's Warbler","Wilson's Warbler","CAPU","Cardellina pusilla","New World Warblers","Parulidae","paruli1","Passeriformes",""
"WIWR","","","","Pacific/Winter Wren","Pacific/Winter Wren","","","","","","",""
"WODU","WODU","CWDU","wooduc","Wood Duck","Wood Duck","AISP","Aix sponsa","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"WSJA","","","","Western Scrub-Jay","Western Scrub-Jay","","","","","","",""
"WSOW","","","","Western Screech-Owl","Western Screech-Owl","","","","","","",""
"WTPT","","","","White-tailed Ptarmigan","White-tailed Ptarmigan","","","","","","",""
"WTSP","WTSP","","whtspa","White-throated Sparrow","White-throated Sparrow","ZOAL","Zonotrichia albicollis","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"WTSW","WTSW","","whtswi","White-throated Swift","White-throated Swift","AESA","Aeronautes saxatalis","Swifts","Apodidae","apodid1","Caprimulgiformes",""
"WWCR","WWCR","TBCR","whwcro","White-winged Crossbill","White-winged Crossbill","LOLE","Loxia leucoptera","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"WWPE","WEWP","WWPE","wewpew","Western Wood-Pewee","Western Wood-Pewee","COSO","Contopus sordidulus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"WWSC","WWSC","","whwsco2","White-winged Scoter","White-winged Scoter","MEDE","Melanitta deglandi","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"YBCH","","","","Yellow-breasted Chat","Yellow-breasted Chat","","","","","","",""
"YBCU","","","","Yellow-billed Cuckoo","Yellow-billed Cuckoo","","","","","","",""
"YBFL","","","","Yellow-bellied Flycatcher","Yellow-bellied Flycatcher","","","","","","",""
"YBSA","","","","Yellow-bellied Sapsucker","Yellow-bellied Sapsucker","","","","","","",""
"YERA","","","","Yellow Rail","Yellow Rail","","","","","","",""
"YEWA","YEWA","AYWA MAWA","yelwar","Yellow Warbler","Yellow Warbler","SEPE","Setophaga petechia","New World Warblers","Parulidae","paruli1","Passeriformes",""
"YHBL","YHBL","","yehbla","Yellow-headed Blackbird","Yellow-headed Blackbird","XAXA","Xanthocephalus xanthocephalus","Troupials and Allies","Icteridae","icteri1","Passeriformes",""
"YRWA","YRWA","MYWA","yerwar","Yellow-rumped Warbler","Yellow-rumped Warbler","SECO","Setophaga coronata","New World Warblers","Parulidae","paruli1","Passeriformes",""
"","AGOS","NOGO AMGO","norgos","American Goshawk","American Goshawk","ACAT","Accipiter atricapillus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"","ATFL","","astfly","Ash-throated Flycatcher","Ash-throated Flycatcher","MYCI","Myiarchus cinerascens","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"","BLSC","","blksco2","Black Scoter","Black Scoter","MEAM","Melanitta americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"","BLTU","","blktur","Black Turnstone","Black Turnstone","ARME","Arenaria melanocephala","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","BBPL","GRPL","bkbplo","Black-bellied Plover","Black-bellied Plover","PLSQ","Pluvialis squatarola","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes",""
"","","BTGW TOWA BTYW","x00867","Black-throated Gray x Townsend's Warbler (hybrid)","Black-throated Gray x Townsend's Warbler (hybrid)","SENI SETO","Setophaga nigrescens x townsendi","New World Warblers","Parulidae","paruli1","Passeriformes",""
"","BGGN","","buggna","Blue-gray Gnatcatcher","Blue-gray Gnatcatcher","POCA","Polioptila caerulea","Gnatcatchers","Polioptilidae","poliop1","Passeriformes",""
"","BBSA","","bubsan","Buff-breasted Sandpiper","Buff-breasted Sandpiper","CASU","Calidris subruficollis","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","CASJ","CSJA WSJA","cowscj1","California Scrub-Jay","California Scrub-Jay","APCA","Aphelocoma californica","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes",""
"","CCLO","","chclon","Chestnut-collared Longspur","Chestnut-collared Longspur","CAOR","Calcarius ornatus","Longspurs and Snow Buntings","Calcariidae","calcar1","Passeriformes",""
"","","BAGO COGO","cxbgol1","Common x Barrow's Goldeneye (hybrid)","Common x Barrow's Goldeneye (hybrid)","BUIS BUCL","Bucephala clangula x islandica","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"","DUNL","","dunlin","Dunlin","Dunlin","CAAL","Calidris alpina","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","","AMWI EUWI","x00421","Eurasian x American Wigeon (hybrid)","Eurasian x American Wigeon (hybrid)","MAPE MAAM","Mareca penelope x americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"","GLGU","","glagul","Glaucous Gull","Glaucous Gull","LAHY","Larus hyperboreus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"","GWFG","","gwfgoo","Greater White-fronted Goose","Greater White-fronted Goose","ANAL","Anser albifrons","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"","HASP","","harspa","Harris's Sparrow","Harris's Sparrow","ZOQU","Zonotrichia querula","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"","","AHHG EHGU HEGU HERG GWGU","x00050","Herring x Glaucous-winged Gull (hybrid)","Herring x Glaucous-winged Gull (hybrid)","LAAR LAGL","Larus argentatus x glaucescens","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"","ICGU","","y00478","Iceland Gull","Iceland Gull","LAGL","Larus glaucoides","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"","LALO","LABU","laplon","Lapland Longspur","Lapland Longspur","CALA","Calcarius lapponicus","Longspurs and Snow Buntings","Calcariidae","calcar1","Passeriformes",""
"","LBDO","","lobdow","Long-billed Dowitcher","Long-billed Dowitcher","LISC","Limnodromus scolopaceus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","","NOPI MALL","x00628","Mallard x Northern Pintail (hybrid)","Mallard x Northern Pintail (hybrid)","ANAC ANPL","Anas platyrhynchos x acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"","MAGO","","margod","Marbled Godwit","Marbled Godwit","LIFE","Limosa fedoa","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","PESA","","pecsan","Pectoral Sandpiper","Pectoral Sandpiper","CAME","Calidris melanotos","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","RLHA","RLBU","rolhaw","Rough-legged Hawk","Rough-legged Hawk","BULA","Buteo lagopus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"","SAGU","","sabgul","Sabine's Gull","Sabine's Gull","XESA","Xema sabini","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"","SAND","","sander","Sanderling","Sanderling","CAAL","Calidris alba","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","SESA","","semsan","Semipalmated Sandpiper","Semipalmated Sandpiper","CAPU","Calidris pusilla","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","SBIG","MEGU SBGU","mewgul2","Short-billed Gull","Short-billed Gull","LABR","Larus brachyrhynchus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"","TRKI","","trokin","Tropical Kingbird","Tropical Kingbird","TYME","Tyrannus melancholicus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"","TUSW","BESW","tunswa","Tundra Swan","Tundra Swan","CYCO","Cygnus columbianus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"","WEFL","PSFL","wesfly","Western Flycatcher","Western Flycatcher","EMDI","Empidonax difficilis","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"","WESA","","wessan","Western Sandpiper","Western Sandpiper","CAMA","Calidris mauri","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","WHIM","EUWH","whimbr","Whimbrel","Whimbrel","NUPH","Numenius phaeopus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","WILL","","willet1","Willet","Willet","TRSE","Tringa semipalmata","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"","YBLO","WBDI","yebloo","Yellow-billed Loon","Yellow-billed Loon","GAAD","Gavia adamsii","Loons","Gaviidae","gaviid1","Gaviiformes",""
